,consumer_c,broker_c,resourceRequestTime_c,resourceRequestTimeDelta_c,resourceRequestedTime_c,resourceRequestedTimeDelta_c,provider_c,token_c,tags_c,priority_c,resourceRespondedTime_c,resourceRespondedTimeDelta_c,offloadTaskTime_c,offloadTaskTimeDelta_c,offloadedTaskTime_c,offloadedTaskTimeDelta_c,executionTime_c,resultReturnedTime_c,resultReturnedTimeDelta_c,totalTime_c,networkTime_c,provider_p,broker_p,benchmark_p,consumer_p,token_p,tags_p,offloadTaskTime_p,offloadTaskTimeDelta_p,executingTime_p,executingTimeDelta_p,executionTime_p,executedTime_p,executedTimeDelta_p,returnedResult_p,returnedResultDelta_p,totalTime_p,networkTime_p,consumer_b,resourceRequestTime_b,resourceRequestTimeDelta_b,provider_b,benchmark_b,token_b,tags_b,priority_b,assignResourceTime_b,assignResourceTimeDelta_b,resourceRespondedTime_b,resourceRespondedTimeDelta_b,totalTime_b,networkTime_b,networkTime
0,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388171197,0,1678388171198,1,18d8a976e0a91ec380a3fc5b156ffc9aa5d0692329602ed82e66b843471072c4,7a5sfy,cloud,0,1678388171200,2,1678388171280,80,1678388171308,27,0,1678388171351,44,154,28,18d8a976e0a91ec380a3fc5b156ffc9aa5d0692329602ed82e66b843471072c4,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,623,7f2c899ae89a20abc8b74e405dc8b3c8ab24c8a00ac0ab932bbb0e74dadf7333,7a5sfy,cloud,1678388171295,0,1678388171297,2,0,1678388171336,39,1678388171362,26,67,26,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388171198,0,18d8a976e0a91ec380a3fc5b156ffc9aa5d0692329602ed82e66b843471072c4,623,7a5sfy,cloud,0,1678388171199,0,1678388171201,3,3,3,57
1,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388173155,0,1678388173163,8,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,j0s223,cloud,0,1678388173169,5,1678388173615,446,1678388173817,203,0,1678388173840,22,684,211,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,314,639f177036e879e7323a7fd31d1ee7338b79d77479f5fea6f2b7826c55f1fb4e,j0s223,cloud,1678388173726,0,1678388173727,0,0,1678388173746,19,1678388173937,192,211,192,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388173162,0,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,314,j0s223,cloud,0,1678388173163,0,1678388173176,13,13,13,416
2,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388177191,0,1678388177192,0,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,yz1mya,cloud,0,1678388177194,2,1678388177641,447,1678388177836,195,0,1678388177856,20,664,195,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,500,cd235fb4faacc4fbf7ebda0fbd71d6141e29721e3c7ad4cb2c606475669acd66,yz1mya,cloud,1678388177743,0,1678388177743,0,0,1678388177762,18,1678388177954,192,210,192,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388177192,0,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,500,yz1mya,cloud,0,1678388177193,0,1678388177195,2,2,2,389
3,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388179170,0,1678388179179,9,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,o4va1o,cloud,0,1678388179186,7,1678388179273,87,1678388179305,32,0,1678388179325,19,154,41,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,574,d19336d2b57e9480fc2104cc78bbb5e1d4fa43a124421fbbb1ea04ffaf06a4ce,o4va1o,cloud,1678388179289,0,1678388179290,0,0,1678388179307,17,1678388179335,29,46,29,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388179179,0,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,574,o4va1o,cloud,0,1678388179180,0,1678388179195,15,15,15,85
4,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388182172,0,1678388182179,6,90079aa622fc050811227ff902c1807154be97350e2d9fc6245726efe1b40083,mcg9b9,cloud,0,1678388182180,1,1678388182627,447,1678388182825,198,0,1678388182853,28,680,204,90079aa622fc050811227ff902c1807154be97350e2d9fc6245726efe1b40083,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,388,7f2c899ae89a20abc8b74e405dc8b3c8ab24c8a00ac0ab932bbb0e74dadf7333,mcg9b9,cloud,1678388182732,0,1678388182732,0,0,1678388182759,27,1678388182952,193,220,193,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388182176,0,90079aa622fc050811227ff902c1807154be97350e2d9fc6245726efe1b40083,388,mcg9b9,cloud,0,1678388182176,0,1678388182183,7,7,7,404
5,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388185184,0,1678388185198,13,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,zh4miz,cloud,0,1678388185209,11,1678388185651,442,1678388185837,187,0,1678388185883,45,698,200,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,480,53101e4c21b91efd27b682df89877d00aedc522b2caf7788ff2454e6711a59b4,zh4miz,cloud,1678388185747,0,1678388185747,0,0,1678388185785,38,1678388185976,191,229,191,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388185194,0,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,480,zh4miz,cloud,0,1678388185195,0,1678388185213,18,18,18,409
6,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388188192,0,1678388188199,6,d2475dac2796550c78ee74b0a35a2ec4bd476190a5101c654e7aef31b3feaff8,fy1nto,cloud,0,1678388188199,0,1678388188638,440,1678388188828,190,0,1678388188873,44,680,196,d2475dac2796550c78ee74b0a35a2ec4bd476190a5101c654e7aef31b3feaff8,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,389,3a2e5e7d50a6dc370dd1b857624c913f852474000e4b6b777e58c9f138dde10f,fy1nto,cloud,1678388188740,0,1678388188741,0,0,1678388188779,39,1678388188967,188,227,188,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388188195,0,d2475dac2796550c78ee74b0a35a2ec4bd476190a5101c654e7aef31b3feaff8,389,fy1nto,cloud,0,1678388188195,0,1678388188203,8,8,8,392
7,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388191195,0,1678388191200,5,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,wola3f,cloud,0,1678388191203,3,1678388191280,77,1678388191306,25,0,1678388191334,29,139,30,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,560,d9ce7906793630904cfb4aa9b827b8af4104a7b28417b9f23ba973e4f89dcb3a,wola3f,cloud,1678388191292,0,1678388191293,0,0,1678388191308,15,1678388191347,39,54,39,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388191199,0,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,560,wola3f,cloud,0,1678388191199,0,1678388191211,11,11,11,80
8,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388194203,0,1678388194208,4,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,pfo671,cloud,0,1678388194214,6,1678388194290,76,1678388194327,37,0,1678388194352,25,148,41,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,560,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,pfo671,cloud,1678388194314,0,1678388194315,0,0,1678388194335,20,1678388194362,28,48,28,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388194208,0,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,560,pfo671,cloud,0,1678388194208,0,1678388194219,11,11,11,80
9,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388197210,0,1678388197214,3,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,0mdltu,cloud,0,1678388197218,5,1678388197666,447,1678388197860,194,0,1678388197882,22,671,197,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,500,6ef22d89f7493bf609375f14981017fa6b3fcc5525aa983c87010caadd617fef,0mdltu,cloud,1678388197769,0,1678388197775,5,0,1678388197785,10,1678388197980,196,211,196,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388197212,0,4a522fcf60d00ae2d1a57fb3d23431d0c9bd2119f3b1c5ebfc0134a9be57d472,500,0mdltu,cloud,0,1678388197213,0,1678388197222,9,9,9,402
10,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388203227,0,1678388203232,4,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,yov6a9,cloud,0,1678388203254,22,1678388203333,79,1678388203366,33,0,1678388203377,11,149,37,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,560,981759a8957ec8f3fffc25da8dfb69d372e4c5c91d57f63e8126ecdd032ff27a,yov6a9,cloud,1678388203353,0,1678388203353,0,0,1678388203362,8,1678388203388,26,34,26,cd235fb4faacc4fbf7ebda0fbd71d6141e29721e3c7ad4cb2c606475669acd66,1678388201250,0,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,560,yov6a9,cloud,0,1678388201251,0,-1,-1,-1,-1,62
11,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388203227,0,1678388203232,4,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,yov6a9,cloud,0,1678388203254,22,1678388203333,79,1678388203366,33,0,1678388203377,11,149,37,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,560,981759a8957ec8f3fffc25da8dfb69d372e4c5c91d57f63e8126ecdd032ff27a,yov6a9,cloud,1678388203353,0,1678388203353,0,0,1678388203362,8,1678388203388,26,34,26,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388203232,0,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,560,yov6a9,cloud,0,1678388203232,0,1678388203256,24,24,24,87
12,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388206238,0,1678388206251,12,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,yh5k64,cloud,0,1678388206252,2,1678388206695,442,1678388206881,186,0,1678388206903,22,664,198,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,480,3584e04ae13c473cb0927d8128a5a13e5a2139284621b8e9839df1c4d3944543,yh5k64,cloud,1678388206789,0,1678388206789,0,0,1678388206810,20,1678388206996,187,207,187,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388206242,0,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,480,yh5k64,cloud,0,1678388206242,0,1678388206255,13,13,13,398
13,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388209245,0,1678388209254,8,edcdea2914578a11b02c88adddd5e81994ad36501fb5d56b7e98bfff33bf10ae,i1h117,cloud,0,1678388209255,1,1678388209696,441,1678388209885,190,0,1678388209905,20,660,198,edcdea2914578a11b02c88adddd5e81994ad36501fb5d56b7e98bfff33bf10ae,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,396,c4e00ba66fecbc1e1e862cf58feb34da8c3d66263ffdb91a6da8ad7c3e3e24f2,i1h117,cloud,1678388209792,0,1678388209793,0,0,1678388209812,19,1678388209997,185,204,185,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388209251,0,edcdea2914578a11b02c88adddd5e81994ad36501fb5d56b7e98bfff33bf10ae,396,i1h117,cloud,0,1678388209251,0,1678388209258,6,6,6,389
14,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388212253,0,1678388212256,3,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,wlj57z,cloud,0,1678388212257,1,1678388212703,446,1678388212895,191,0,1678388212914,19,660,194,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,314,6ef22d89f7493bf609375f14981017fa6b3fcc5525aa983c87010caadd617fef,wlj57z,cloud,1678388212803,0,1678388212807,3,0,1678388212819,13,1678388213011,192,208,192,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388212256,0,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,314,wlj57z,cloud,0,1678388212256,0,1678388212259,3,3,3,389
15,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388215264,0,1678388215267,2,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,w4y2wz,cloud,0,1678388215267,1,1678388215392,125,1678388215417,25,0,1678388215442,25,178,27,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,560,d9ce7906793630904cfb4aa9b827b8af4104a7b28417b9f23ba973e4f89dcb3a,w4y2wz,cloud,1678388215407,0,1678388215407,0,0,1678388215419,11,1678388215452,34,45,34,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388215265,0,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,560,w4y2wz,cloud,0,1678388215266,0,1678388215269,3,3,3,64
16,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388218273,0,1678388218275,1,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,kzdv4y,cloud,0,1678388218277,2,1678388218719,442,1678388218905,186,0,1678388218921,16,647,187,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,480,d9ce7906793630904cfb4aa9b827b8af4104a7b28417b9f23ba973e4f89dcb3a,kzdv4y,cloud,1678388218813,0,1678388218813,0,0,1678388218828,14,1678388219014,187,201,187,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388218275,0,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,480,kzdv4y,cloud,0,1678388218275,0,1678388218280,5,5,5,379
17,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388221281,0,1678388221283,2,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,vpwmpr,cloud,0,1678388221289,6,1678388221369,79,1678388221401,33,0,1678388221443,42,162,35,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,560,858d37f827ebd21524346c30ecd63d15f2244be64a35409ba9b72034532faa74,vpwmpr,cloud,1678388221385,0,1678388221386,0,0,1678388221401,16,1678388221454,52,68,52,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388221283,0,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,560,vpwmpr,cloud,0,1678388221283,0,1678388221291,8,8,8,95
18,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678388224293,0,1678388224295,2,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,153tao,cloud,0,1678388224306,10,1678388224465,159,1678388224492,27,0,1678388224520,28,226,29,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,574,3a2e5e7d50a6dc370dd1b857624c913f852474000e4b6b777e58c9f138dde10f,153tao,cloud,1678388224477,0,1678388224477,0,0,1678388224492,14,1678388224532,41,55,41,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678388224295,0,c53edbefe56b3025f5e8f2fec9443e23e85a6fc4b72cde1d7317c76d22597b74,574,153tao,cloud,0,1678388224295,0,1678388224307,12,12,12,82
