,consumer_c,broker_c,resourceRequestTime_c,resourceRequestTimeDelta_c,resourceRequestedTime_c,resourceRequestedTimeDelta_c,provider_c,token_c,tags_c,priority_c,resourceRespondedTime_c,resourceRespondedTimeDelta_c,offloadTaskTime_c,offloadTaskTimeDelta_c,offloadedTaskTime_c,offloadedTaskTimeDelta_c,executionTime_c,resultReturnedTime_c,resultReturnedTimeDelta_c,totalTime_c,networkTime_c,consumer_b,resourceRequestTime_b,resourceRequestTimeDelta_b,provider_b,benchmark_b,token_b,tags_b,priority_b,assignResourceTime_b,assignResourceTimeDelta_b,resourceRespondedTime_b,resourceRespondedTimeDelta_b,totalTime_b,networkTime_b,networkTime
0,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678621028437,0,1678621028512,74,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,dhzax2,cloud,0,1678621028554,43,1678621028651,96,1678621028679,28,5,1678621029152,474,715,102,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678621028513,0,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,731,dhzax2,cloud,0,1678621028516,3,1678621028558,42,45,42,144
1,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678621036530,0,1678621036535,4,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,idap5y,cloud,0,1678621036537,2,1678621036984,447,1678621037189,205,3,1678621037221,33,691,209,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678621036534,0,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,359,idap5y,cloud,0,1678621036534,0,1678621036543,8,8,8,217
2,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678621044535,0,1678621044539,3,f999761e7e34cbe937796d5b04c03b4900bef13bf807d5e3f9339fa7fbd8bb28,88g4nw,cloud,0,1678621044542,3,1678621044988,446,1678621045188,200,0,1678621045214,27,679,203,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678621044538,0,f999761e7e34cbe937796d5b04c03b4900bef13bf807d5e3f9339fa7fbd8bb28,272,88g4nw,cloud,0,1678621044539,0,1678621044546,7,7,7,210
3,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678621052543,0,1678621052544,0,90079aa622fc050811227ff902c1807154be97350e2d9fc6245726efe1b40083,khrz0b,cloud,0,1678621052545,2,1678621052993,447,1678621053195,203,0,1678621053218,22,674,203,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678621052544,0,90079aa622fc050811227ff902c1807154be97350e2d9fc6245726efe1b40083,418,khrz0b,cloud,0,1678621052544,0,1678621052547,2,2,2,205
4,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678621060541,0,1678621060548,6,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,wtofo1,cloud,0,1678621060555,7,1678621061001,446,1678621061191,190,0,1678621061224,34,683,196,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678621060548,0,9961ef74d2a42b72e49a364e88a889c9a13b5e0804feaef097d1c56bc5b46f7e,359,wtofo1,cloud,0,1678621060548,0,1678621060556,8,8,8,204
5,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678621068548,0,1678621068553,4,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,93gmu7,cloud,0,1678621068556,4,1678621068682,126,1678621068710,27,0,1678621068743,34,195,31,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678621068552,0,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,731,93gmu7,cloud,0,1678621068553,0,1678621068567,14,14,14,45
6,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678621076550,0,1678621076553,2,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,li2m9o,cloud,0,1678621076556,3,1678621076640,84,1678621076671,31,0,1678621076756,86,206,33,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678621076553,0,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,731,li2m9o,cloud,0,1678621076553,0,1678621076559,5,5,5,38
7,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678621085606,0,1678621085607,1,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,r35pm1,cloud,0,1678621085608,0,1678621085686,79,1678621085711,25,0,1678621085728,17,122,26,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678621085607,0,78673a62c8ff07865b5afaafd64bae16512d760d3960463b2b9a26285f635226,731,r35pm1,cloud,0,1678621085607,0,1678621085608,0,0,0,26
8,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678621092555,0,1678621092559,3,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,rxn4dn,cloud,0,1678621092560,1,1678621093001,442,1678621093188,186,0,1678621093205,17,649,189,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678621092558,0,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,347,rxn4dn,cloud,0,1678621092558,0,1678621092561,3,3,3,192
9,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,af0dec7914141c90a805842cb87642d59ed389f4a7fc95f6daf30186dc97226b,1678621100558,0,1678621100559,0,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,wjrywn,cloud,0,1678621100560,2,1678621101002,442,1678621101188,186,0,1678621101222,34,664,186,65fda78a896a0fa9573840b73985a6e13144eb776085f45c9750bdc4b80d4e94,1678621100559,0,17a206886fbef16e1212b898f3a66bcaebe6341bab781c91fc9bfa8c5049ed26,347,wjrywn,cloud,0,1678621100559,0,1678621100562,3,3,3,189
